Method,SpotPrice,OptionPrice
Naive,80,0.0277813
Naive,90,0.0328664
Naive,100,0.023324
Naive,110,0
Naive,120,0
Antithetic,80,0.0288244
Antithetic,90,0.0337223
Antithetic,100,0.023936
Antithetic,110,0
Antithetic,120,0
ImportanceSampling,80,0.0463491
ImportanceSampling,90,0.0425296
ImportanceSampling,100,0.0227414
ImportanceSampling,110,0
ImportanceSampling,120,0
ControlVariates,80,0.0278329
ControlVariates,90,0.0328515
ControlVariates,100,0.0239877
ControlVariates,110,0
ControlVariates,120,0
Stratified,80,0.031155
Stratified,90,0.040752
Stratified,100,0.027617
Stratified,110,0.00382781
Stratified,120,0
